name, pipeline, cache, clocks, rtc
"exchange sort", false, false, 1241987229, 4.6783634
"exchange sort", false, true, 57192612, 2.0243869
"exchange sort", true, false, 680728341, 5.6916337
"exchange sort", true, true, 40048747, 2.5420284
"matrix multiply", false, false, 3381999775, 11.1963584
"matrix multiply", false, true, 1218797096, 39.0551753
"matrix multiply", true, false, 3484644170, 22.9326034
"matrix multiply", true, true, 911797089, 49.3181383
"matrix multiply fp32", false, false, 1918439, 0.0066037
"matrix multiply fp32", false, true, 183596, 0.00454
"matrix multiply fp32", true, false, 1937149, 0.0125573
"matrix multiply fp32", true, true, 152889, 0.0054709
"string exchange sort", false, false, 216145, 0.0007885
"string exchange sort", false, true, 25199, 0.0005423
"string exchange sort", true, false, 126537, 0.0011756
"string exchange sort", true, true, 26530, 0.000797
