benchmark,configuration,clocks,rtc
exchange sort,no_pipe_no_cache,123843378669,1836.8394013
exchange sort,pipe_only,67829250293,1937.7762682
exchange sort,one_way_cache_only,6146217934,855.0484675
exchange sort,one_way_cache_and_pipelining,4436730706,1027.2279145
exchange sort,two_way_cache_only,4466253346,836.8484208
exchange sort,two_way_cache_and_pipelining,2762047069,908.3079225
exchange sort,four_way_cache_only,4410387246,842.5266554
exchange sort,four_way_cache_and_pipelining,2706379343,821.8885497
exchange sort,one_way_cache_only_no_writethrough,6146270195,916.3981624
exchange sort,one_way_cache_and_pipelining_no_writethrough,4436785162,399.4372955
exchange sort,two_way_cache_only_no_writethrough,4466253067,691.0085659
exchange sort,two_way_cache_and_pipelining_no_writethrough,2762046777,1025.4092956
exchange sort,four_way_cache_only_no_writethrough,4410386967,360.7657271
exchange sort,four_way_cache_and_pipelining_no_writethrough,2706379051,328.4837255
matrix multiply,no_pipe_no_cache,3381999775,36.5292616
matrix multiply,pipe_only,3484644170,93.9948421
matrix multiply,one_way_cache_only,1218797096,190.1061772
matrix multiply,one_way_cache_and_pipelining,911797089,189.130153
matrix multiply,two_way_cache_only,922875796,166.2399117
matrix multiply,two_way_cache_and_pipelining,615875789,211.2431655
matrix multiply,four_way_cache_only,908649896,163.3773517
matrix multiply,four_way_cache_and_pipelining,601649889,140.0988641
matrix multiply,one_way_cache_only_no_writethrough,1257200422,66.5819571
matrix multiply,one_way_cache_and_pipelining_no_writethrough,948052385,223.9266508
matrix multiply,two_way_cache_only_no_writethrough,866440397,155.5745111
matrix multiply,two_way_cache_and_pipelining_no_writethrough,553495664,521.820752
matrix multiply,four_way_cache_only_no_writethrough,833669437,130.6406028
matrix multiply,four_way_cache_and_pipelining_no_writethrough,520094905,191.8328221
matrix multiply fp32,no_pipe_no_cache,3450488315,48.1484796
matrix multiply fp32,pipe_only,3484644170,92.1597063
matrix multiply fp32,one_way_cache_only,1598797096,201.4415841
matrix multiply fp32,one_way_cache_and_pipelining,1291797089,160.6703125
matrix multiply fp32,two_way_cache_only,1302875796,55.1161577
matrix multiply fp32,two_way_cache_and_pipelining,995875789,67.7703832
matrix multiply fp32,four_way_cache_only,1288649896,63.7807864
matrix multiply fp32,four_way_cache_and_pipelining,981649889,65.1625034
matrix multiply fp32,one_way_cache_only_no_writethrough,1637200422,55.1151185
matrix multiply fp32,one_way_cache_and_pipelining_no_writethrough,1328052385,59.1047543
matrix multiply fp32,two_way_cache_only_no_writethrough,1246440397,55.6200871
matrix multiply fp32,two_way_cache_and_pipelining_no_writethrough,933495664,55.702078
matrix multiply fp32,four_way_cache_only_no_writethrough,1213669437,49.3030698
matrix multiply fp32,four_way_cache_and_pipelining_no_writethrough,900094905,43.6607255
